Bologna F.C. 1909
Real Madrid
Atalanta
Manchester City
Arsenal
Liverpool
Aston Villa
Barcellona
Girona
Atlético Madrid
Bayer Leverkusen
Stoccarda
Bayern Monaco
RB Lipsia
Borussia Dortmund
Inter
Milan
Juventus
Paris Saint-Germain
Monaco
Brest
PSV
Feyenoord
Sporting Lisbona
Benfica
Club Bruges
Celtic
Sturm Graz
Šachtar
Young Boys
Salisburgo
Sparta Praga
Dinamo Zagabria
Slovan Bratislava
Stella Rossa
Lille
